Ticker,Fitur,Fold,Dense_Units,Hidden_Units,Dropout,LR,Batch_Size,Optimizer,Best_Epoch,Val_Loss,Val_MAE,Val_MAPE,Val_RMSE,Val_R2
ADRO,High_Low_LAG,2,128,32,0.3398990012730666,0.002592762730543721,64,Adam,79,0.29185938835144043,0.21116528441677201,1.6292067671684867,0.29185940329288534,0.29335930148822975
ADRO,High_Low_LAG,3,160,128,0.4658654084607346,0.0005294262515994413,32,RMSprop,90,0.420098215341568,0.2953461336385693,0.613200615722898,0.4200981925663052,0.7740978170618965
ADRO,High_Low_LAG,4,192,224,0.28024381986370933,0.0026043456154850827,64,AdamW,9,0.7480958104133606,0.5703753158125214,0.09471636465420881,0.7480957628193038,0.6201817959013753
ADRO,High_Low_LAG,5,32,128,0.34178090499034697,0.0010971463488368765,16,RMSprop,53,0.2824980914592743,0.2052114896911275,0.0653711213383235,0.2824981013250892,0.9196800713140573
ADRO,High_Volume_LAG,1,224,96,0.17639406694102738,0.003331789684550099,64,RMSprop,52,0.4566136300563812,0.34921999753972965,0.24357560770798098,0.45661364920368264,0.49229891866152775
ADRO,High_Volume_LAG,2,160,64,0.40034260447387415,0.0017893854535194179,32,SGD,18,0.2999388575553894,0.21666516958328597,1.4239862939293781,0.29993885577813456,0.25369435426563847
ADRO,High_Volume_LAG,3,160,192,0.21293351378854852,0.0020248120673059707,32,RMSprop,8,0.44308364391326904,0.31257304622288806,0.5324049691471706,0.4430836289425387,0.7487013187239722
ADRO,High_Volume_LAG,4,192,224,0.2911393797387982,0.0008682175734287092,32,RMSprop,10,1.1117336750030518,0.881304694602163,0.1315172014217058,1.111733701635851,0.1611912953559682
ADRO,High_Volume_LAG,5,224,128,0.33883987527097303,0.0048133865897708825,32,Adam,13,0.33483585715293884,0.2670960728093819,0.09466105500071523,0.33483585456322384,0.8871617971340233
ADRO,Low_Volume_LAG,1,160,64,0.25166324868785916,0.004753220838652572,64,RMSprop,77,0.42018842697143555,0.3199388201048852,0.2254080762657227,0.4201884196781814,0.5700692899918889
ADRO,Low_Volume_LAG,2,128,224,0.32517387494891825,0.00432334158832559,32,AdamW,28,0.2991003692150116,0.21333767109449933,1.722721094989924,0.29910037500349274,0.25786112533911754
ADRO,Low_Volume_LAG,3,160,256,0.14169597381932866,0.004549192017179895,32,Adam,30,0.4145585596561432,0.28246186360427167,0.5811830876567982,0.41455854811720877,0.780016275442681
ADRO,Low_Volume_LAG,4,192,256,0.3025958448925826,0.0006353919221783727,16,RMSprop,12,0.8642740249633789,0.6861991496833951,0.1112077898994852,0.8642739850517283,0.49305100354335096
ADRO,Low_Volume_LAG,5,160,224,0.1729296547546727,0.0013429638326354547,32,RMSprop,16,0.3136464059352875,0.24717370452860818,0.08713997023257285,0.31364637644746735,0.9009914280111633
ADRO,Open_High_Low_LAG,1,160,96,0.27042121500624006,0.003959631420891289,16,RMSprop,29,0.42207005620002747,0.32039485155296493,0.234388509863443,0.4220700577552982,0.5662101388000567
ADRO,Open_High_Low_LAG,2,256,224,0.20336349727599523,0.0036150570056160338,32,Adam,31,0.2982446551322937,0.21702483445019957,1.8652375589708998,0.29824465781731135,0.2621015248663202
ADRO,Open_High_Low_LAG,3,192,224,0.12954663960734472,0.004198289292658012,16,AdamW,78,0.42552557587623596,0.2903707299123465,0.524647363207071,0.42552557209448016,0.7682231105744608
ADRO,Open_High_Low_LAG,4,256,128,0.41735122766542687,0.002096357391447205,16,AdamW,40,0.7514108419418335,0.5781167291277598,0.09690488645146782,0.7514107936358786,0.6168081668715826
ADRO,Open_High_Low_LAG,5,160,256,0.15764434102614075,0.0018769730628137172,32,RMSprop,63,0.26708492636680603,0.20533070305698725,0.06651372679846428,0.2670849320875564,0.9282055252367204
ADRO,Open_High_Volume_LAG,1,224,160,0.4535658494079245,0.0021211708099538934,16,AdamW,18,0.48538991808891296,0.3693948190799618,0.2602303349130803,0.48538990403081533,0.4262908354950766
ADRO,Open_High_Volume_LAG,2,224,256,0.1981570927055464,0.000328584049922157,16,SGD,54,0.2887841463088989,0.20745524851940655,1.4259852948796075,0.28878413609192416,0.3081723252937284
ADRO,Open_High_Volume_LAG,3,128,96,0.2740860702712094,0.0005182990694233788,32,RMSprop,19,0.44754132628440857,0.3174426498993797,0.5498399476213653,0.44754134609730917,0.7436194179643624
