Ticker,Fitur,Fold,Best_Epoch,Val_Loss,Val_MAE,Val_MAPE,Val_RMSE,Val_R2,,
ADRO,OHLVC_RSI,2,76,10031.79102,62.2857399,0.090468679,99.12313965,0.540366301,,
ADRO,OHLVC_RSI,3,98,467393.6875,660.3364258,0.404732775,684.2889575,-13.37558794,,
ADRO,OHLVC_RSI,4,86,6361.10791,62.4054718,0.166603559,240.3765746,-4.229238646,,
ADRO,OHLVC_RSI,5,99,234615.1875,443.7841797,0.210954508,535.8913915,-3.878019942,,
ADRO,OHLVC_MACD,1,78,1325.547852,26.95227242,0.067374654,38.32032354,0.588824053,,
ADRO,OHLVC_MACD,2,90,9453.432617,64.52715302,0.086678186,99.26513757,0.538865843,,
ADRO,OHLVC_MACD,3,99,404750.0313,610.0009766,0.372453548,637.2369438,-11.46618796,,
ADRO,OHLVC_MACD,4,67,7872.933105,66.2585144,0.148469635,215.3140512,-3.184536912,,
ADRO,OHLVC_MACD,5,95,217719.3438,415.7273254,0.20905094,523.5627688,-3.661111146,,
ADRO,OHLVC_MA_EMA,1,81,1170.22229,25.58192444,0.054319441,34.43643688,0.65907469,,
ADRO,OHLVC_MA_EMA,2,91,9329.227539,60.78506088,0.087422235,97.85319938,0.546205965,,
ADRO,OHLVC_MA_EMA,3,100,313158.1563,529.8757935,0.321293255,559.5827927,-8.618448547,,
ADRO,OHLVC_MA_EMA,4,34,9413.5625,72.2023468,0.104826344,169.0191004,-1.593277383,,
ADRO,OHLVC_MA_EMA,5,99,167965.1094,371.8308411,0.170811549,427.211119,-2.144890361,,
ADRO,OHLVC_MA_RSI,1,59,1235.435181,26.32782555,0.06041964,34.73567374,0.653255573,,
ADRO,OHLVC_MA_RSI,2,90,9197.167969,61.62282181,0.097826086,104.9061434,0.480657714,,
ADRO,OHLVC_MA_RSI,3,100,311708.9375,529.0836792,0.32092894,558.2443957,-8.576499057,,
ADRO,OHLVC_MA_RSI,4,74,7842.090332,67.51889038,0.082082335,127.7677369,-0.494064298,,
ADRO,OHLVC_MA_RSI,5,83,151743.8594,345.571106,0.158443429,397.2995784,-1.721487073,,
ADRO,OHLVC_MA_MACD,1,76,1191.76709,26.28031158,0.055558681,34.60856808,0.656576918,,
ADRO,OHLVC_MA_MACD,2,84,10575.82422,64.47808838,0.090606444,102.2635622,0.508693587,,
ADRO,OHLVC_MA_MACD,3,99,351713.75,565.2368164,0.346359888,597.1113065,-9.953792339,,
ADRO,OHLVC_MA_MACD,4,78,7713.185059,64.56227875,0.05897082,100.0698178,0.051516592,,
ADRO,OHLVC_MA_MACD,5,100,176880.0938,380.2384338,0.163187206,419.7040854,-2.052820526,,
ADRO,OHLVC_EMA_RSI,1,87,1214.27124,25.51270676,0.061524624,38.97786309,0.571951371,,
ADRO,OHLVC_EMA_RSI,2,88,9256.419922,60.22144318,0.097780472,102.3068372,0.506048778,,
ADRO,OHLVC_EMA_RSI,3,94,331698.4688,546.2423706,0.364090344,628.4932897,-11.12828988,,
ADRO,OHLVC_EMA_RSI,4,35,7542.751465,64.11126709,0.11977999,181.3939221,-1.977876153,,
ADRO,OHLVC_EMA_RSI,5,96,178496.125,374.4821472,0.180635544,464.3732561,-2.74952558,,
ADRO,OHLVC_EMA_MACD,1,63,1210.953857,25.67539978,0.064030759,36.40597757,0.622039222,,
ADRO,OHLVC_EMA_MACD,2,97,8971.620117,61.11369324,0.093161153,102.5608498,0.501495114,,
ADRO,OHLVC_EMA_MACD,3,100,367939.6875,579.4063721,0.352621752,606.558043,-10.30059283,,
ADRO,OHLVC_EMA_MACD,4,25,8343.001953,67.26979065,0.123242675,191.2968105,-2.336474717,,
