Ticker,Fitur,Fold,Dense_Units,Hidden_Units,Dropout,LR,Batch_Size,Optimizer,Best_Epoch,Val_Loss,Val_MAE,Val_MAPE,Val_RMSE,Val_R2
ACES,Open_Volume_LAG,2,128,160,0.4131361043395201,0.0031180756461010083,64,SGD,78,0.34797513484954834,0.25882426391628904,0.2632015212010806,0.3479751540392732,0.6111957655254778
ACES,Open_Volume_LAG,3,128,96,0.3141815428325836,0.002457294998510097,16,Adam,30,0.2169872522354126,0.17045330372455306,0.2817862338329215,0.21698726153272216,0.5929829492553256
ACES,Open_Volume_LAG,4,64,96,0.22637745171057969,0.003627882048349766,16,RMSprop,34,0.20366887748241425,0.15991269712479836,0.10269191066430836,0.20366888358618537,0.6222519843361334
ACES,Open_Volume_LAG,5,256,160,0.10400429960596733,0.004758189835170299,32,AdamW,12,0.1703612357378006,0.13151984972270025,0.3015509647566443,0.17036124069345218,0.1296083133708219
ACES,High_Low_LAG,1,192,128,0.1000679240369581,0.004996923897036768,32,AdamW,5,0.5425740480422974,0.4086760287613101,0.11898900318920698,0.5425740190277561,0.6878448876921368
ACES,High_Low_LAG,2,192,160,0.34179725045620796,0.0027327866755875994,64,RMSprop,10,0.3435419499874115,0.2572474992724841,0.25248872714940074,0.3435419449332689,0.6210394039884908
ACES,High_Low_LAG,3,128,128,0.37633328557421897,0.0001777003471762531,16,RMSprop,3,0.2147999256849289,0.1698103385645752,0.285666571793336,0.21479992998063888,0.6011474286683682
ACES,High_Low_LAG,4,32,160,0.13895521180806492,0.0013225001910985963,64,RMSprop,92,0.17247189581394196,0.13427559744230094,0.08690453103118312,0.17247189543514924,0.7291121673601273
ACES,High_Low_LAG,5,96,64,0.21296797603841677,0.002409409356109201,32,RMSprop,87,0.16523727774620056,0.12666542331122493,0.2842717419668041,0.16523727740552857,0.18117855778049308
ACES,High_Volume_LAG,1,192,256,0.39105048618821214,0.0027064649271945737,16,AdamW,3,0.6350740194320679,0.48264225385963244,0.14007425537538773,0.6350740176618369,0.5723375157113156
ACES,High_Volume_LAG,2,224,192,0.2367252940415416,0.0029738685724160683,32,Adam,27,0.34440523386001587,0.2398837088114955,0.26663022663315067,0.3444052548760701,0.619132379084063
ACES,High_Volume_LAG,3,32,224,0.22783983572574196,0.001735754340716185,32,AdamW,59,0.20270167291164398,0.16296910091423908,0.2833261228596953,0.20270167282315152,0.6448115860732635
ACES,High_Volume_LAG,4,128,96,0.40804930536530715,0.0015787662620059472,16,Adam,92,0.2241867184638977,0.18054044962356272,0.11681198619045975,0.22418672728655417,0.5423087389706682
ACES,High_Volume_LAG,5,192,128,0.4136456538959786,0.0009344490004075645,16,Adam,8,0.1743590086698532,0.1367032305089768,0.3051461709088213,0.1743590211533995,0.0882789326664537
